Name,TrackManId,HeightIn,Height,WeightLb,Status,BRUrl,ScrapedAt
"Clark, Levi",815155,,,,not_found,,2026-07-05
"Davis, JC",840667,,,,not_found,,2026-07-05
"Fosberg, Will",831145,74,6-2,205,found,https://www.baseball-reference.com/register/player.fcgi?id=fosber000wil,2026-07-05
"DiGiorgio, Henry",831143,72,6-0,185,found,https://www.baseball-reference.com/register/player.fcgi?id=digior000hen,2026-07-05
"Miller, Caden",832296,73,6-1,160,found,https://www.baseball-reference.com/register/player.fcgi?id=miller007cad,2026-07-05
"Ketelsen, Brock",828176,76,6-4,206,found,https://www.baseball-reference.com/register/player.fcgi?id=ketels000bro,2026-07-05
"Musso, Austin",828259,74,6-2,215,found,https://www.baseball-reference.com/register/player.fcgi?id=musso-000aus,2026-07-05
"Daniel, Caleb",825840,,,,not_found,,2026-07-05
"Barrett, Easton",807288,72,6-0,180,found,https://www.baseball-reference.com/register/player.fcgi?id=barret000eas,2026-07-05
"Wachs, Jason",832160,74,6-2,190,found,https://www.baseball-reference.com/register/player.fcgi?id=wachs-000jas,2026-07-05
